Model no.	Breast cancer type	Disease area	Disease features	Category	Type	Cells	Source	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	DOI or link	First author name	Year
448	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1007/s11164-015-2412-8	Kamath, Pooja R.	2016
449	BC	BC	Cancer Initiation and Development	In vitro	Cells/Ex vivo	Immortalised cells	MDA-MB-231	Culture	2D/3D	Spheroids	Biopsies	Disease mechanism (exp./theor.)	WNT5b, MCL1, migration, viability, cyclin E, cyclin D1, caspase 3, caspase 8, OXPHOS	Low	Yes	Supportive	10.1186/1471-2407-14-124	Yang, L.	2014
450	BC	BC	Tumor Landscape	In vitro	Cell free	n/a	n/a	n/a	n/a	n/a	Biopsies	Diagnosis of disease	DNA Copy Number alteration	Low	Yes	Supportive	10.1016/j.tranon.2015.08.004	Kirkizlar, Eser	2015
451	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT474, SKBR3, NCI-N87,SNU-I, MDA-MB-453, HCC1419 , HCC1519	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	MiR-16, CCNJ, FUBP1, cytotoxicity	Low	Yes	Direct	10.1038/onc.2016.151	Venturutti, L.	2016
454	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.)	morphology, SNAIL, AKT, COL1A1, migration, EMT	Low	Yes	Direct	10.1038/s41598-018-23833-1	Chen, Andy	2018
458	BC	BC	Cancer Initiation and Development	In vitro/In silico	Ex vivo/Algorithms	n/a	BC	n/a	n/a	n/a	Organ slice	Model/method develop.(exp.)	morphology	High	Yes	Direct	10.1038/s41379-018-0073-z	Bejnordi, Babak Ehteshami	2018
460	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7 , MDA-MB-231	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	morphology, metabolic activity, TGF-β1, SDF-1	Low	Yes	Direct	10.3390/cancers10090292	Bray, Laura J.	2018
461	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7	Co-culture	3D	Scaffolds	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.)	cell adhesion	Low	Yes	Direct	10.1016/j.actbio.2014.12.008	Zhu, Wei	2015
462	BC	BC	Cancer Initiation and Development	In vitro	Cells	Primary cell culture	BC	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.)	morphology, Epithelial membrane antigen, Cytokeratin 18, Cytokeratin 5/6, Estrogen receptor, Progesterone receptor, HER2/neu, P53, Vimentin, karyotype, aneuploidy, migration, CD44, CD24	Low	Yes	Direct	10.1186/1475-2867-14-14	Pandrangi, Santhi Latha	2014
465	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, migration, invasion, MMP-9, MUC1, N-cadherin, Twist, VEGF	Low	Yes	Supportive	10.1016/j.jep.2018.12.041	Baraya, Yusha'u Shuaibu	2019
467	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Primary cell culture	SUM159, BT549, MDA-MB-231, MDA-MB-468, HCC1937; T47D, MCF7, BT474, HER2, HCC1937 , SKBR3	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	genome-wide MiR profile, MiR-1287-5p, Pi3K, morphology, proliferation	Low	Yes	Supportive	10.1186/s13058-019-1104-5	Schwarzenbacher, Daniela	2019
468	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	MCF‐7R , MCF‐7	Culture	3D	Scaffolds	n/a	Drug develop./testing; Model/method develop. (exp.)	proliferation, cytotoxicity	Low	Yes	Direct	10.1002/term.2729	Ding, Yanfang	2018
469	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MCF7	Culture	3D	Scaffolds	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.)	biocompatibility, cell attachment, proliferation, E-cadherin, MMP2, EMT	Low	Yes	Direct	10.1088/1758-5090/aa5510	Janani, G.	2017
470	BC	BC	Cancer Initiation and Development	In vitro	Cells/Ex vivo	Immortalised cells	MCF10A, MCF7, T47D, SKBR3, MDA-MB-435, BT474	Culture	2D	n/a	Biopsies	Disease mechanism (exp./theor.)	LKB1, R/PR status, HMW-CK, α-SMA, migration, GM130, morphology	Low	Yes	Supportive	10.1186/s13046-014-0070-0	Li, Juan	2014
471	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	CD44, CD24, invasion, XBP-1, ATF6, CHOP	High	Yes	Direct	10.1016/j.etp.2016.06.004	Nami, Babak	2016
472	BC	BC	Cancer Initiation and Development	In vitro	Cells/Ex vivo	Immortalised cells	MDA‐MB‐231	Culture	2.5D	n/a	Biopsies	Disease mechanism (exp./theor.)	MiR profile, MicroRNA‐409‐3p, cell invasion, ZEB1, migration	Low	Yes	Supportive	10.1002/iub.1494	Ma, Zhenhai	2016
473	BC	BC	Cancer Initiation and Development	In vitro/In silico	Cells/Simulation	Immortalised cells	MDA-MB-231 , MCF7	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	microRNA-193b, DNAJC13, RAB22A, proliferation, migration, invasion	Medium	Yes	Direct	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4270560/	Zhaoying Yang	2014
475	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	MDA-MB-231, MDA-MB-453 , MCF7	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	CD44, CD24, HSP90	Low	Yes	Supportive	10.1080/15384047.2016.1195041	Stivarou, Theodora	2016
477	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	HCC1937, primary fibroblasts	Co-culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	Vimentin, CD10, FAP, αSMA, FSP, CK-14, proliferation, invasion, migration, SDF1, E-cadherin, MMP9, morphology, cytotoxicity, EMT	Medium	Yes	Direct	10.1038/s41598-018-32370-w	Hemalatha, Sreelatha K.	2018
478	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7 , MDA-MB- 231	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	OCT4	Low	Yes	Direct	10.2174/1871520616666160923093229	Lopes, Juliana Ramos	2017
480	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Primary cell culture	BC	Culture	3D	Organoids	n/a	Drug develop./testing	HIF-1α, morphology, cell branching, RNA profile, EMT	Low	Yes	Direct	10.1093/toxsci/kfy112	Rocco, Sabrina A.	2018
482	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells/Primary cell culture	MCF, CAFs , NFs	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	α-SMA, protein profiling, invasion, CD44, CD24, ALDH1	Low	Yes	Direct	10.7717/peerj.4805	Wang, Bixiao	2018
484	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MDA-MB-231BO, MCF7	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	cell-cycle, Ki-67, P21, proliferation	Low	Yes	Direct	10.1093/abbs/gmy126	Chen, Xiaoyan	2018
485	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MCF7, BT20, BT474, MDA-MB-468, T-47D, SK-BR-3,	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	CDH1, IL1-beta, FAK, MAPKK, morphology, genome-wide RNA profile, migration, cytotoxicity	Low	Yes	Direct	10.1186/s13287-015-0123-0	Al-toub, Mashael	2015
486	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	SKBR3, T47-D	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	nucleostemin, invasion, migration, cell-cycle	Low	Yes	Direct	10.7314/APJCP.2014.15.5.2291	Guo, Yu	2014
487	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10A, H‐Ras MCF10A, MCF‐7, MDA‐MB‐231	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	H‐Ras, DDr1, E-Cadherin, ZEB1, EMT	Low	Yes	Direct	10.1002/ijc.29154	Koh, Minsoo	2015
488	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	H3K4me3, H3K27me3	Low	Yes	Direct	10.1186/s13072-016-0090-4	Adriaens, Michiel E.	2016
489	BC	BC	Cancer Initiation and Development	In vitro/In silico	Ex vivo/Computational	n/a	n/a	n/a	n/a	n/a	Biopsies	Model/method develop.(exp.); Model/method qualification	angiogenesis, TNF-α, PlGF, ANG-2, TGF-β,	Low	Yes	Direct	10.1371/journal.pcbi.1004050	Guex, Nicolas	2015
490	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, T47D, HCC1428, SUM44 , ZR75.1	Culture	2D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	genome-wide RNA profile, genome-wide protein profile, ER, correlation with clinical outcome, proliferation	Low	Yes	Direct	10.1186/s13058-016-0713-5	Simigdala, Nikiana	2016
492	BC	BC	Cancer Initiation and Development	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	Temperature	Low	Yes	Direct	10.1007/978-981-10-3147-2_11	Ramirez-Torres, A.	2017
494	BC	BC	Pharmacological/Physical Treatment	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	n/a	Drug develop./testing; Model/method develop. (exp.)	Temperature	Low	Yes	Supportive	10.1016/j.jtherbio.2016.04.002	Singh, Sundeep	2016
495	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1155/2019/6146972	Figueroa, Daniela	2019
496	BC	BC	Cancer Initiation and Development	In vitro	Cells/Ex vivo	Immortalised cells	MDA-MB-231 , BT549	Culture	2D	n/a	Biopsies	Disease mechanism (exp./theor.)	PinX1, NF-κB, MMP-2, MMP-9, TIMP-1, TIMP-2, migration, invasion, NF-κB	Low	Yes	Supportive	10.1186/s12943-015-0332-2	Shi, Meilin	2015
497	BC	BC	Drug Discovery and/or Testing	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	Linear Discriminant Analysis (LDA)	High	Yes	Direct	https://sciforum.net/manuscripts/3106/manuscript.pdf	Prado-Prado, F.J.	2016
498	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7, MDA-MB-231, SK-BR-3	Culture	3D	Spheroids	n/a	Drug develop./testing	cytotoxicity, morphology, PD-L1, Nanog	High	Yes	Direct	10.1155/2019/9078209	Zhang, Xiaobei	2019
501	BC	BC	Cell culture strategy	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	morphology, cytotoxicity, CD44, CD24, EMT	High	Yes	Direct	10.1186/s12935-017-0392-z	Choi, Hack Sun	2017
502	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	SUM159, T49D	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	IMP3, miRNA-34a, colony formation, CD44, CD24, ESA	Low	Yes	Direct	https://www.europeanreview.org/wp/wp-content/uploads/2688-2696.pdf	Huang, QD	2018
503	BC	BC	Cell culture strategy	In vitro	Cells	Immortalised cells	MCF12A, Hs 578Bst	Culture	3D	Organoids	n/a	Model/method develop.(exp.)	morphology, E-cadherin, α-SMA	Low	Yes	Supportive	10.4155/fsoa-2018-0010	Weber-Ouellette, Anne	2018
504	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells/Primary cell culture	BT20, INFs-CM, CAFs-CM	Co-culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	cell migration, cytotoxicity, EMT	Low	Yes	Supportive	10.1371/journal.pone.0164661	Hsu, Hsiang-Chi	2017
507	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	T47D, MDA-MB-231, MCF7, SK-BR-3 , HCC1937	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	miR-506, IQGAP1, cell proliferation, invasion, adhesion, ERK1/2	Medium	Yes	Supportive	10.3892/ijo.2015.3161	Sun, Guang	2015
508	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231, BT549 , MDA-MB-453	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	E2F5, invasion, migration, microRNA-154, correlation	Low	Yes	Supportive	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4931156	Xu, H	2016
509	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	ME-MB-231	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	TLR9, cellular uptake of DNA, invasion, protease activity, mRNA and protein profile, LL-37	Low	Yes	Supportive	10.1007/s10549-016-3683-5	Tuomela, Johanna M.	2016
510	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	SNX9, invasion, migration, RhoGTPases, CD44, RhoA-ROCK pathway, N-WASP	Low	Yes	Supportive	10.1091/mbc.E16-02-0101	Bendris, Nawal	2016
511	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231 , MDA-MB-468	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	annexin A3, cytotoxicity, invasion, proliferation, NFκB drug uptake	Low	Yes	Supportive	10.1038/s41419-017-0143-z	Du, Ruikai	2018
513	BC	BC	Pharmacological/Physical Treatment	In vitro/In silico	Cells/Simulation	Immortalised cells	MDA-MB-231	Culture	2.5D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Supportive	10.1155/2015/474597	Talhouk, Rabih S.	2015
514	BC	BC	Microenvironment-Tumor Interactions	In silico	Computational/Simulation	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	cell adhesion	Low	Yes	n/a	10.1109/TBME.2016.2607183	Picco, Noemi	2017
515	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MDA-MB-231 , MCF7	Co-culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	IL-8/CXCL8, MCP-1, proliferation, ERK	Low	Yes	Direct	10.1038/bjc.2017.414	Khazali, Ahmad S.	2018
516	BC	BC	Cell culture strategy	In vitro	Cells	Immortalised cells	MCF10A or MDA-MB-231	Culture	3D	Scaffolds	n/a	Model/method develop.(exp.)	viability, morphology, proliferation, integrin alpha 2, cytotoxicity	Low	Yes	Supportive	10.1155/2017/8074890	Rijal, Girdhari	2017
517	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells/Primary cell culture	DA-MB-231 , T47D cells	Co-culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	RNA profile	Low	Yes	Supportive	10.1016/j.gdata.2016.02.009	Roudnicky, Filip	2016
518	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231, MDA-MB-468 , BT549	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.); Drug develop./testing	morphology, cytotoxicity, invasion, migration, CRK, ENOLASE, ABL kynase, RAC1, TRIO	Low	Yes	Direct	10.1371/journal.pone.0118854	Chevalier, Clement	2015
519	BC	BC	Cell culture strategy	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2.5D	n/a	n/a	Model/method develop.(exp.)	migration, cell-adhesion, CXCL12	Low	Yes	Supportive	10.1016/j.actbio.2014.11.033	Kojima, Taisuke	2015
520	BC	BC	Cancer Initiation and Development	In vitro/In silico	Ex vivo/Algorithms	n/a	BC	n/a	n/a	n/a	Organ slice	Diagnosis of disease	intratumor heterogenicity	Low	Yes	Direct	10.1016/j.ebiom.2017.12.026	Khosravi, Pegah	2018
521	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	proliferation, migration, cell-adhesion, MMP-2, MMP-9, TIMP-1, TIMP-2, morphology	Low	Yes	Direct	10.22034/APJCP.2017.18.4.905	Mali, A.V.	2017
522	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	184-hTERT polyclon/al infection pool mammary epithelial cell	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	morphology, cell-adhesion, PROCR, LPAR3, LPAR1, LPAR2, genome-wide RNA profile	High	Yes	Supportive	10.1186/s13058-014-0510-y	Burleigh, Angela	2015
524	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	BT549, MDA-MB-231, MDA-MB-468 cell lines, CAFs	Co-culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	VIMENTIN, E-Cadherin, aplphaSMA, Beclin I, LC·, P62, migration, CAF autophagy, EMT	Low	Yes	Direct	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5565237/	Wang, M	2017
529	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	MDA-MB-468 cells	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	Silibinin, apoptosis, BAX, CASPASE3, BCL2, SURVIVIN, cell-cycle, morphology, CD133, NANOG, OCT4, SOX2, ALDH, c-Myc, KLF4	Low	Yes	Direct	10.1097/CAD.0000000000000205	Abdollahi, Pegah	2015
530	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells/Ex vivo	Immortalised cells	MCF7 , MDA-MB-231, CAFs	Culture	3D	Spheroids	Biopsies	Disease mechanism (exp./theor.)	Leptin, morphology, genome-wide RNA profile, correlation with clinical outcome	Low	Yes	Supportive	10.18632/oncotarget.6014	Giordano, Cinzia	2016
531	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231/Luc	Culture	3D	Spheroids	n/a	Drug develop./testing	cytotoxicity	High	Yes	Direct	10.1177/2472555217692321	Fitzpatrick, P. A.	2017
532	BC	BC	Cell culture strategy	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	proliferation, colony formation	Low	Yes	Direct	10.1016/j.procir.2017.03.341	Rabionet, Marc	2017
533	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.2147/IJN.S159942	Foglietta, Federica	2018
534	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7, 184B5,	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.3892/ijo.2018.4357	Zhao, Yuxue	2018
535	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.21873/anticanres.12450	Uematsu, Nami	2018
537	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7, MCF10A	Culture	3D	Scaffolds	n/a	Model/method develop.(exp.)	migration, invasion, cell protrusion	Low	Yes	Direct	10.1016/j.biomaterials.2015.11.039	Peela, Nitish	2016
538	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	chemotactic transmigrating motilities	Low	Yes	Direct	10.1002/bit.25270	Park, Sung Jun	2014
539	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	21PT	Co-culture	3D	Scaffolds	n/a	Model/method develop.(exp.)	cytotoxicity	Low	Yes	Direct	10.1021/acsbiomaterials.8b01277	Wang, Ying	2018
540	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231 TNBC , MCF10A	Culture	2D	n/a	n/a	Drug develop./testing	proteolysis, cytotoxicity	Low	Yes	Direct	10.1021/jacs.8b08853	Arora, Karan	2018
541	BC	BC	Cell culture strategy	In vitro	Cells	Immortalised cells/Stem-cell like	MDA-MB-231	Culture	3D	Scaffolds	n/a	Model/method develop.(exp.)	proliferation	Low	Yes	Direct	10.3390/ijms19103148	Polonio-Alcala, Emma	2018
542	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7, CAFs	Co-culture	2D/3D	Spheroids	n/a	Drug develop./testing	MTT standard curves, metabolic activity	Low	Yes	Direct	10.1186/s12935-015-0218-9	Qayyum, Muqeem A.	2015
544	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	2D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	RNA profile	Low	Yes	Supportive	10.1371/journal.pone.0157997	Vantangoli, Marguerite M.	2016
545	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231	Co-culture	3D	Spheroids	n/a	Model/method develop.(exp.)	cell-adhesion, CCL4, oestrogen receptor-α, glycoprotein mucin 1	Low	Yes	Supportive	10.1016/j.jim.2015.07.003	Augustine, Tanya N.	2015
546	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231, HCC1395	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	HSP90, TPH1, 5-HT7 receptor-dependent serotonin, correlation with clinical outcome, PI3K/Akt and Ras/Raf/MAPK signaling pathways	High	Yes	Supportive	10.1007/s10549-016-4027-1	Gautam, Jaya	2017
547	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	cytokines, MMP9, NFkappaB and MAPK signaling pathways	Low	Yes	Direct	10.1089/jmf.2013.3077	Im, Nam-Kyung	2014
548	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-435, MCF7	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	EDH2, migration, invasion	Low	Yes	Supportive	10.1007/s13277-014-3011-9	Yang, Xiaojing	2015
549	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-468	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	genome-wide screen for EMT regulators, migration, invasion, EMT	High	Yes	Direct	10.18632/oncotarget.11314	Skalamera, Dubravka	2016
550	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10, MDA-MD-231,	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	cell-adhesion, Tpm4, RAC1, migration, morphology	Medium	Yes	Supportive	10.18632/oncotarget.16825	Jeong, SukYeong	2017
551	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231 , MCF7, SKBR3	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	MMP2, AKT, NF-ĸB, P38 MAPK, MK2, invasion	Low	Yes	Direct	10.1016/j.biopha.2018.05.155	Das, Kaushik	2018
555	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231, SUM159, MCF7, T47D,	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	NDY1/KDM2B, proliferation, PRC1, PRC2, ALDH and CD44, CD24	Low	Yes	Supportive	10.1158/0008-5472.CAN-13-2733	Kottakis, Filippos	2014
556	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	BT474, SK-BR-3, MCF7, MDA-MB-231, HCC1806 , HCC1937	Culture	2D	n/a	n/a	Drug develop./testing	HER2, CD44, CD24, NK-cell activity	Low	Yes	Supportive	10.1038/cddis.2014.115	Diessner, J.	2014
557	BC	BC	Cell culture strategy	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7	Culture	3D	Scaffolds/Spheroids	n/a	Model/method develop.(exp.)	mammosphere forming index	Low	Yes	Direct	10.3390/molecules21040537	Palomeras, Sonia	2016
