Model no.	Disease Area	Disease Feature	Category	Type	Application	Biological Endpoints	Throughput	Potential	Notes	Reference	DOI	Authors	Year	Citation Index (Scopus)	Citation Index  (WOS)
194	Asthma	Airway Remodelling	Human/patient primary or stem cells 	Primary human bronchial fibroblasts	Disease mechanism (exp/theor)	Metabolism	Medium / Low (Lab scale)	Mechanistic Studies		Undifferentiated Bronchial Fibroblasts Derived from Asthmatic Patients Display Higher Elastic Modulus than Their Non-Asthmatic Counterparts	https://doi.org/10.1371/journal.pone.0116840	Sarna, Michal; Wojcik, Katarzyna A.; Hermanowicz, Pawel; Wnuk, Dawid; Burda, Kvetoslava; Sanak, Marek; Czyz, Jaroslaw; Michalik, Marta	2015	13	12
194	Asthma	Airway Remodelling	Human/patient primary or stem cells 	Primary human bronchial fibroblasts	Disease mechanism (exp/theor)	Imaging	Medium / Low (Lab scale)	Mechanistic Studies		Undifferentiated Bronchial Fibroblasts Derived from Asthmatic Patients Display Higher Elastic Modulus than Their Non-Asthmatic Counterparts	https://doi.org/10.1371/journal.pone.0116840	Sarna, Michal; Wojcik, Katarzyna A.; Hermanowicz, Pawel; Wnuk, Dawid; Burda, Kvetoslava; Sanak, Marek; Czyz, Jaroslaw; Michalik, Marta	2015	13	12
195	COPD	Barrier Function / Integrity	2D or 3D Culture	16HBE14o- Human Bronchial Epithelial Cell Line	Disease mechanism (exp/theor)	Cytotoxicity	Medium / Low (Lab scale)	Mechanistic Studies		Cigarette smoke-induced disruption of bronchial epithelial tight junctions is prevented by transforming growth factor-beta.	https://doi.org/10.1165/rcmb.2013-0090OC	Schamberger, Andrea C; Mise, Nikica; Jia, Jie; Genoyer, Emmanuelle; Yildirim, Ali O; Meiners, Silke; Eickelberg, Oliver	2014	30	29
195	COPD	Barrier Function / Integrity	2D or 3D Culture	16HBE14o- Human Bronchial Epithelial Cell Line	Disease mechanism (exp/theor)	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Mechanistic Studies		Cigarette smoke-induced disruption of bronchial epithelial tight junctions is prevented by transforming growth factor-beta.	https://doi.org/10.1165/rcmb.2013-0090OC	Schamberger, Andrea C; Mise, Nikica; Jia, Jie; Genoyer, Emmanuelle; Yildirim, Ali O; Meiners, Silke; Eickelberg, Oliver	2014	30	29
195	COPD	Barrier Function / Integrity	2D or 3D Culture	16HBE14o- Human Bronchial Epithelial Cell Line	Disease mechanism (exp/theor)	Protein Expression	Medium / Low (Lab scale)	Mechanistic Studies		Cigarette smoke-induced disruption of bronchial epithelial tight junctions is prevented by transforming growth factor-beta.	https://doi.org/10.1165/rcmb.2013-0090OC	Schamberger, Andrea C; Mise, Nikica; Jia, Jie; Genoyer, Emmanuelle; Yildirim, Ali O; Meiners, Silke; Eickelberg, Oliver	2014	30	29
196	Respiratory Disease - General	Barrier Function / Integrity	2D or 3D Culture	A549 cell line	Comparison of barrier integrity 	Imaging	Medium / Low (Lab scale)	Unknown		Surfactant Protein D modulates allergen particle uptake and inflammatory response in a human epithelial airway model	https://doi.org/10.1186/1465-9921-13-8	Schleh, Carsten; Rothen-Rutishauser, Barbara M.; Blank, Fabian; Lauenstein, Hans D.; Nassimi, Matthias; Krug, Norbert; Braun, Armin; Erpenbeck, Veit J.; Gehr, Peter; Hohlfeld, Jens M.	2012	17	16
196	Respiratory Disease - General	Barrier Function / Integrity	2D or 3D Culture	A549 cell line	Comparison of barrier integrity 	Cytokine Release	Medium / Low (Lab scale)	Unknown		Surfactant Protein D modulates allergen particle uptake and inflammatory response in a human epithelial airway model	https://doi.org/10.1186/1465-9921-13-8	Schleh, Carsten; Rothen-Rutishauser, Barbara M.; Blank, Fabian; Lauenstein, Hans D.; Nassimi, Matthias; Krug, Norbert; Braun, Armin; Erpenbeck, Veit J.; Gehr, Peter; Hohlfeld, Jens M.	2012	17	16
197	Respiratory Disease - General	Barrier Function / Integrity	2D or 3D Culture	See notes	Comparison of barrier integrity 	Imaging	Medium / Low (Lab scale)	Unknown	A human epithelial airway model was built by using human Type II-pneumocyte like cells (A549 cells), human monocyte derived macrophages as well as human monocyte derived dendritic cells. The epithelial cell model was incubated with SPP in the presence and absence of surfactant protein D. Particle uptake was evaluated by confocal microscopy and advanced computer-controlled analysis. Finally, human primary CD4+ T-Cells were added to the epithelial airway model and soluble mediators were measured by enzyme linked immunosorbent assay or bead array.	Surfactant Protein D modulates allergen particle uptake and inflammatory response in a human epithelial airway model	https://doi.org/10.1186/1465-9921-13-8	Schleh, Carsten; Rothen-Rutishauser, Barbara M.; Blank, Fabian; Lauenstein, Hans D.; Nassimi, Matthias; Krug, Norbert; Braun, Armin; Erpenbeck, Veit J.; Gehr, Peter; Hohlfeld, Jens M.	2012	17	16
198	Cystic Fibrosis	Mucosal Clearance	Chip or microfluidic system	Airway epithelial ALI culture	Model development - experim	Cillia beating Frequency	Medium / Low (Lab scale)	Mechanistic Studies		Continuous mucociliary transport by primary human airway epithelial cells in vitro.	https://doi.org/10.1152/ajplung.00024.2015	Sears, Patrick R; Yin, Wei-Ning; Ostrowski, Lawrence E	2015	19	20
198	Cystic Fibrosis	Mucosal Clearance	Chip or microfluidic system	Airway epithelial ALI culture	Model development - experim	Mucous production	Medium / Low (Lab scale)	Mechanistic Studies		Continuous mucociliary transport by primary human airway epithelial cells in vitro.	https://doi.org/10.1152/ajplung.00024.2015	Sears, Patrick R; Yin, Wei-Ning; Ostrowski, Lawrence E	2015	19	20
199	Toxicity	Tissue/Cell Viability	2D or 3D co-culture	Human lung microvascular endothelial cells HMVEC	Toxicity	Cytokine Release	Medium / Low (Lab scale)	Toxic insult/response		Small airway epithelial cells exposure to printer-emitted engineered nanoparticles induces cellular effects on human microvascular endothelial cells in an alveolar-capillary co-culture model.	https://doi.org/10.3109/17435390.2014.976603	Sisler, Jennifer D; Pirela, Sandra V; Friend, Sherri; Farcas, Mariana; Schwegler-Berry, Diane; Shvedova, Anna; Castranova, Vincent; Demokritou, Philip; Qian, Yong	2015	24	25
199	Toxicity	Tissue/Cell Viability	2D or 3D co-culture	Human lung microvascular endothelial cells HMVEC	Toxicity	Cell /  Tissue Morphology	Medium / Low (Lab scale)	Toxic insult/response		Small airway epithelial cells exposure to printer-emitted engineered nanoparticles induces cellular effects on human microvascular endothelial cells in an alveolar-capillary co-culture model.	https://doi.org/10.3109/17435390.2014.976603	Sisler, Jennifer D; Pirela, Sandra V; Friend, Sherri; Farcas, Mariana; Schwegler-Berry, Diane; Shvedova, Anna; Castranova, Vincent; Demokritou, Philip; Qian, Yong	2015	24	25
199	Toxicity	Tissue/Cell Viability	2D or 3D co-culture	Human lung microvascular endothelial cells HMVEC	Toxicity	Vascularisation	Medium / Low (Lab scale)	Toxic insult/response		Small airway epithelial cells exposure to printer-emitted engineered nanoparticles induces cellular effects on human microvascular endothelial cells in an alveolar-capillary co-culture model.	https://doi.org/10.3109/17435390.2014.976603	Sisler, Jennifer D; Pirela, Sandra V; Friend, Sherri; Farcas, Mariana; Schwegler-Berry, Diane; Shvedova, Anna; Castranova, Vincent; Demokritou, Philip; Qian, Yong	2015	24	25
200	Pulmonary Fibrosis	Inflammation	2D or 3D Culture	MeT-5A human pleural mesothelial cell line (PMC) 	Disease therapy development	mRNA expression	Medium / Low (Lab scale)	Mechanistic Studies		Inhibition of angiotensin II and calpain attenuates pleural fibrosis.	https://doi.org/10.1016/j.pupt.2017.10.012	Song, Lin-Jie; Xiang, Fei; Ye, Hong; Huang, Hai; Yang, Jie; Yu, Fan; Xiong, Liang; Xu, Juan-Juan; Greer, Peter A; Shi, Huan-Zhong; Xin, Jian-Bao; Su, Yunchao; Ma, Wan-Li	2018	1	1
200	Pulmonary Fibrosis	Inflammation	2D or 3D Culture	MeT-5A human pleural mesothelial cell line (PMC) 	Disease therapy development	Protein Expression	Medium / Low (Lab scale)	Mechanistic Studies		Inhibition of angiotensin II and calpain attenuates pleural fibrosis.	https://doi.org/10.1016/j.pupt.2017.10.012	Song, Lin-Jie; Xiang, Fei; Ye, Hong; Huang, Hai; Yang, Jie; Yu, Fan; Xiong, Liang; Xu, Juan-Juan; Greer, Peter A; Shi, Huan-Zhong; Xin, Jian-Bao; Su, Yunchao; Ma, Wan-Li	2018	1	1
201	Asthma	Inflammation	Computational/in silico	in silico/ mathemathical model	Diagnosis of disease	Other	Not relevant (e.g. In silico)	Pathogenesis		TH17 functional study in severe asthma using agent based model	https://doi.org/10.1016/j.jtbi.2012.05.012	Song, Liyan; Guo, Yunbo; Deng, Qingkai; Li, Jinming	2012	3	3
202	Allergic rhinitis	Barrier Function / Integrity	Human/patient ex-vivo tissue or body fluids 	human nasal epithelial cells (hNECs)	Disease mechanism (exp/theor)	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Mechanistic Studies		Impaired barrier function in patients with house dust mite-induced allergic rhinitis is accompanied by decreased occludin and zonula occludens-1 expression	https://doi.org/10.1016/j.jaci.2015.10.050	Steelant, Brecht; Farre, Ricard; Wawrzyniak, Paulina; Belmans, Jochen; Dekimpe, Emily; Vanheel, Hanne; Van Gerven, Laura; Krohn, Inge Kortekaas; Bullens, Dominique M. A.; Ceuppens, Jan L.; Akdis, Cezmi A.; Boeckxstaens, Guy; Seys, Sven F.; Hellings, Peter W.	2016	72	70
202	Allergic rhinitis	Barrier Function / Integrity	Human/patient ex-vivo tissue or body fluids 	human nasal epithelial cells (hNECs)	Disease mechanism (exp/theor)	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Mechanistic Studies		Impaired barrier function in patients with house dust mite-induced allergic rhinitis is accompanied by decreased occludin and zonula occludens-1 expression	https://doi.org/10.1016/j.jaci.2015.10.050	Steelant, Brecht; Farre, Ricard; Wawrzyniak, Paulina; Belmans, Jochen; Dekimpe, Emily; Vanheel, Hanne; Van Gerven, Laura; Krohn, Inge Kortekaas; Bullens, Dominique M. A.; Ceuppens, Jan L.; Akdis, Cezmi A.; Boeckxstaens, Guy; Seys, Sven F.; Hellings, Peter W.	2016	72	70
202	Allergic rhinitis	Barrier Function / Integrity	Human/patient ex-vivo tissue or body fluids 	Human Nasal Turbinate Slices	Disease mechanism (exp/theor)	Gene expression	Medium / Low (Lab scale)	Mechanistic Studies		Impaired barrier function in patients with house dust mite-induced allergic rhinitis is accompanied by decreased occludin and zonula occludens-1 expression	https://doi.org/10.1016/j.jaci.2015.10.050	Steelant, Brecht; Farre, Ricard; Wawrzyniak, Paulina; Belmans, Jochen; Dekimpe, Emily; Vanheel, Hanne; Van Gerven, Laura; Krohn, Inge Kortekaas; Bullens, Dominique M. A.; Ceuppens, Jan L.; Akdis, Cezmi A.; Boeckxstaens, Guy; Seys, Sven F.; Hellings, Peter W.	2016	72	70
202	Allergic rhinitis	Barrier Function / Integrity	Human/patient ex-vivo tissue or body fluids 	Human Nasal Turbinate Slices	Disease mechanism (exp/theor)	Mucous production	Medium / Low (Lab scale)	Mechanistic Studies		Impaired barrier function in patients with house dust mite-induced allergic rhinitis is accompanied by decreased occludin and zonula occludens-1 expression	https://doi.org/10.1016/j.jaci.2015.10.050	Steelant, Brecht; Farre, Ricard; Wawrzyniak, Paulina; Belmans, Jochen; Dekimpe, Emily; Vanheel, Hanne; Van Gerven, Laura; Krohn, Inge Kortekaas; Bullens, Dominique M. A.; Ceuppens, Jan L.; Akdis, Cezmi A.; Boeckxstaens, Guy; Seys, Sven F.; Hellings, Peter W.	2016	72	70
202	Allergic rhinitis	Barrier Function / Integrity	Human/patient ex-vivo tissue or body fluids 	Human Nasal Turbinate Slices	Disease mechanism (exp/theor)	Imaging	Medium / Low (Lab scale)	Mechanistic Studies		Impaired barrier function in patients with house dust mite-induced allergic rhinitis is accompanied by decreased occludin and zonula occludens-1 expression	https://doi.org/10.1016/j.jaci.2015.10.050	Steelant, Brecht; Farre, Ricard; Wawrzyniak, Paulina; Belmans, Jochen; Dekimpe, Emily; Vanheel, Hanne; Van Gerven, Laura; Krohn, Inge Kortekaas; Bullens, Dominique M. A.; Ceuppens, Jan L.; Akdis, Cezmi A.; Boeckxstaens, Guy; Seys, Sven F.; Hellings, Peter W.	2016	72	70
203	Allergic rhinitis	Inflammation	2D or 3D Culture	human nasal epithelial cells (hNECs)	Disease mechanism (exp/theor)	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Mechanistic Studies		Histamine and T helper cytokine-driven epithelial barrier dysfunction in allergic rhinitis.	https://doi.org/10.1016/j.jaci.2017.08.039	Steelant, Brecht; Seys, Sven F; Van Gerven, Laura; Van Woensel, Matthias; Farre, Ricard; Wawrzyniak, Paulina; Kortekaas Krohn, Inge; Bullens, Dominique M; Talavera, Karel; Raap, Ulrike; Boon, Louis; Akdis, Cezmi A; Boeckxstaens, Guy; Ceuppens, Jan L; Hellings, Peter W	2018	14	11
203	Allergic rhinitis	Inflammation	2D or 3D Culture	human nasal epithelial cells (hNECs)	Disease mechanism (exp/theor)	mRNA expression	Medium / Low (Lab scale)	Mechanistic Studies		Histamine and T helper cytokine-driven epithelial barrier dysfunction in allergic rhinitis.	https://doi.org/10.1016/j.jaci.2017.08.039	Steelant, Brecht; Seys, Sven F; Van Gerven, Laura; Van Woensel, Matthias; Farre, Ricard; Wawrzyniak, Paulina; Kortekaas Krohn, Inge; Bullens, Dominique M; Talavera, Karel; Raap, Ulrike; Boon, Louis; Akdis, Cezmi A; Boeckxstaens, Guy; Ceuppens, Jan L; Hellings, Peter W	2018	14	11
203	Allergic rhinitis	Inflammation	2D or 3D Culture	human nasal epithelial cells (hNECs)	Disease mechanism (exp/theor)	Cytokine Release	Medium / Low (Lab scale)	Mechanistic Studies		Histamine and T helper cytokine-driven epithelial barrier dysfunction in allergic rhinitis.	https://doi.org/10.1016/j.jaci.2017.08.039	Steelant, Brecht; Seys, Sven F; Van Gerven, Laura; Van Woensel, Matthias; Farre, Ricard; Wawrzyniak, Paulina; Kortekaas Krohn, Inge; Bullens, Dominique M; Talavera, Karel; Raap, Ulrike; Boon, Louis; Akdis, Cezmi A; Boeckxstaens, Guy; Ceuppens, Jan L; Hellings, Peter W	2018	14	11
203	Allergic rhinitis	Inflammation	2D or 3D Culture	human nasal epithelial cells (hNECs)	Disease mechanism (exp/theor)	Cell migration	Medium / Low (Lab scale)	Mechanistic Studies		Histamine and T helper cytokine-driven epithelial barrier dysfunction in allergic rhinitis.	https://doi.org/10.1016/j.jaci.2017.08.039	Steelant, Brecht; Seys, Sven F; Van Gerven, Laura; Van Woensel, Matthias; Farre, Ricard; Wawrzyniak, Paulina; Kortekaas Krohn, Inge; Bullens, Dominique M; Talavera, Karel; Raap, Ulrike; Boon, Louis; Akdis, Cezmi A; Boeckxstaens, Guy; Ceuppens, Jan L; Hellings, Peter W	2018	14	11
204	Respiratory Disease - General	Structural Changes	Computational/in silico	in silico/ mathemathical model	Model development - theoret	Cell /  Tissue Morphology	Not relevant (e.g. In silico)	Mechanistic Studies		Finite element modeling of Xe-129 diffusive gas exchange NMR in the human alveoli	https://doi.org/10.1016/j.jmr.2016.07.016	Stewart, Neil J.; Parra-Robles, Juan; Wild, Jim M.	2016	6	6
205	Respiratory Disease - General	Bronchial Dysplasia	Organoid model 	Human fetal lung fibroblasts IMR-90	Disease therapy development	mRNA expression	High Throughput(Automated)	Disease Progression		A three-dimensional human model of the fibroblast activation that accompanies bronchopulmonary dysplasia identifies Notch-mediated pathophysiology.	https://doi.org/10.1152/ajplung.00446.2015	Sucre, Jennifer M S; Wilkinson, Dan; Vijayaraj, Preethi; Paul, Manash; Dunn, Bruce; Alva-Ornelas, Jackelyn A; Gomperts, Brigitte N	2016	19	17
206	Respiratory Disease - General	Mucous Production	Human/patient ex-vivo tissue or body fluids 	Human Nasal Turbinate Slices	Model of Human Airway Mucosa	mRNA expression	Medium / Low (Lab scale)	Drug Development		1,8-Cineol Reduces Mucus-Production in a Novel Human Ex Vivo Model of Late Rhinosinusitis.	https://doi.org/10.1371/journal.pone.0133040	Sudhoff, Holger; Klenke, Christin; Greiner, Johannes F W; Muller, Janine; Brotzmann, Viktoria; Ebmeyer, Jorg; Kaltschmidt, Barbara; Kaltschmidt, Christian	2015	11	7
206	Respiratory Disease - General	Mucous Production	Human/patient ex-vivo tissue or body fluids 	Human Nasal Turbinate Slices	Model of Human Airway Mucosa	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Drug Development		1,8-Cineol Reduces Mucus-Production in a Novel Human Ex Vivo Model of Late Rhinosinusitis.	https://doi.org/10.1371/journal.pone.0133040	Sudhoff, Holger; Klenke, Christin; Greiner, Johannes F W; Muller, Janine; Brotzmann, Viktoria; Ebmeyer, Jorg; Kaltschmidt, Barbara; Kaltschmidt, Christian	2015	11	7
207	COPD	Airflow patterns	Computational/in silico	in silico/ mathemathical model	Model development - theoret	Other	Not relevant (e.g. In silico)	Mechanistic Studies		Assessing airflow sensitivity to healthy and diseased lung conditions in a computational fluid dynamics model validated in vitro	https://doi.org/10.1115/1.4038896	Sul, B.; Oppito, Z.; Jayasekera, S.; Vanger, B.; Zeller, A.; Morris, M.; Ruppert, K.; Altes, T.; Rakesh, V.; Day, S.	2018	5	3
208	Asthma	Oxidative stress	Human/patient primary or stem cells 	Human Bronchial Smooth Muscle Cells (HBSMC)	Disease therapy development	Gene expression	Medium / Low (Lab scale)	Mechanistic Studies		Increased Nicotinamide Adenine Dinucleotide Phosphate Oxidase 4 Expression Mediates Intrinsic Airway Smooth Muscle Hypercontractility in Asthma	https://doi.org/10.1164/rccm.201107-1281OC	Sutcliffe, Amanda; Hollins, Fay; Gomez, Edith; Saunders, Ruth; Doe, Camille; Cooke, Marcus; Challiss, R. A. John; Brightling, Chris E.	2012	53	53
