Model no.	Disease area	Disease feature 	Disease feature 1	Disease feature 2	Disease feature 3	Cellular Input	Model	Category	Type	Cells	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	Status	Content	Predictive	Year	First Author Name	Link to Abstract (DOI)
399	General (Cell Lines As Instrumental)	Immunotherapy	immunotherapy			CTLs	LNCaP, MDA-MB-231, NCI-H1703, JHC7	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Gameiro, SR	10.1016/j.ijrobp.2016.02.022
400	Multiple Myeloma	Immunotherapy	immunotherapy			n/a	Biopsies,  SKO-007(J3), U266, RPMI 8226, ARP, ARK, OPM-2, and LP-1	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	ADAM10, NKG2DLs and ADAM10 and ADAM17, degranulation, citotoxiciy	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2015	Zingoni, A	10.4049/jimmunol.1402643
401	General 	Immunotherapy	immunotherapy			n/a	liquid Biopsies	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	T cell proliferation, TGF-β and IL-10	Low	Yes	Direct	Proof of Concept	Low	No	2014	Koumarianou, A	10.1186/2162-3619-3-3
402	Serous Ovarian Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	OV-MZ-6 and SKOV-3, Biopsies	In vitro	Cells / Ex vivo	Immortalized cells / primary cell culture	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	CXCL9 and CXCL10, CD3, CD56 and FOXP3 , COX, TILs count, Chemokine regulation, correlation	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	Yes	2016	Bronger, H	10.1038/bjc.2016.172
403	Colorectal Cancer	Immunotherapy	immunotherapy			n/a	Biopsies, TAMs	In vitro	Cells / Ex vivo	Primary cell culture	Culture	2D	n/a	Biopsies	Disease therapy dev	TAM density, correlation	Low	Yes	Supportive	Proof of Concept	Low	No	2017	Mao, Y	10.3892/ol.2017.6935
404	Prostate Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	chromogranin A (CGA), CD56, synaptophysin (SYN), CD3, and PD-L1	Low	No	Direct	Proof of Concept	Low	No	2019	von Hardenberg, J	10.1016/j.clgc.2018.12.007
405	Diffuse Large B-Cell Lymphoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	T-cell tissue cellularity, PD-L1 ,  PD-1, CD3, PD-1/PD-L1, correlation, T-cell infiltration	Low	Yes	Direct	Proof of Concept	Low	Yes	2019	Li, L	10.1038/s41379-018-0193-5
406	Colon Adenocarcinomas	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	regulatory T cells count, CD39, Foxp3,  ICOS, PD-L1 and CTLA-4	Low	No	Direct	Proof of Concept	Low	No	2018	Ahlmanner, F.	10.18632/oncotarget.26435
407	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	IGF2BP3, correlation	Low	No	Direct	Proof of Concept	Low	No	2015	Shantha Kumara, H.M.C.	10.18632/oncoscience.174
408	Colorectal Cancer	Immunotherapy	immunotherapy			n/a	HT-29	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	PD-1/PD-L1, citotoxicity	Low	Yes	Supportive	Qualified externally	Low	No	2016	He, CB	10.1038/ncomms12499
409	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	B cell-associated protein 31 (BAP31), RNA profile, correlation	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Ma, C	10.1016/j.prp.2018.03.023
410	Pancreatic Cancer	Immunotherapy	immunotherapy			n/a	MIA-PaCa-2 and Panc-1 , patient-derived organoids (PDOs), Biopsies	In vitro	Cells / Ex vivo	Immortalized cells	Culture	3D	Organoids	Biopsies	Disease therapy dev	PD-1/PD-L1, MAPK, citotoxicity in organoids	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2019	Gao, M	10.1038/s41416-018-0298-0
411	Breast Cancer	Immunotherapy	immunotherapy			V45.2.' T-cells	MDA-MB-468, normal ductal epithelium Biopsies	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D/3D	Organoids	n/a	Disease therapy dev	citotoxicity, IFN-gamma	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Zumwalde, NA	10.1158/1940-6207.CAPR-15-0370-T
412	Melanoma	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	growth of tumor cells 	Low	Yes	Direct	Proof of Concept	Low	Yes	2015	Castillo-Montiel, E	10.1186/s12976-015-0007-0
413	Glioma	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	T11 Target Structure, cells interactive dynamics	Low	Yes	Direct	Proof of Concept	Low	Yes	2015	Banerjee, S	10.1371/journal.pone.0123611
414	General	Immunotherapy	immunotherapy			n/a	n/a	In silico	Simulation	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	interaction of tumour infiltrating cytotoxic Lymphocytes (TICLs) with tumour cells	Low	Yes	Direct	Proof of Concept	Low	No	2014	Mambili-Mamboundou, H	10.1016/j.mbs.2014.01.002
415	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	tumor mutational burden (TMB) ,  PD1/PD-L1, correlation	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Fabrizio, DA	10.21037/jgo.2018.05.06
416	Lung Adenocarcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	DNA profile, mutational profile	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Lyu, GY	10.1038/s41525-018-0051-x
417	Squamous Cell Lung Carcinoma	Immunotherapy	immunotherapy			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	PD-L1 protein expression, tumor mutation burden, and expression of an immune gene signature,  IFN-gamma, correlation	Low	Yes	Direct	Proof of Concept	Low	Yes	2019	Yu, H	10.1016/j.jtho.2018.09.006
418	General (Cell Lines As Instrumental)	Adoptive Cell Therapy	adoptive cell therapy			T-cells	Jurkat E6.1, Molt-3, KBM7, K562, THP-1, U266, TK6, HP, VB, BV, KÖ, CM, PH	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	CD41 and CD81, citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Legut, M	10.1182/blood-2017-05-787598
419	Primary Multiple Myeloma	Immunotherapy	immunotherapy			T-cells	OPM-2, L363 and U266	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	3D	Scaffolds	n/a	Model/method dev - exp	citotxicity, Colony formation, mutation profile	Low	Yes	Supportive	Proof of Concept	Low	No	2018	Braham, MVJ	10.1080/2162402X.2018.1434465
420	B-Cell Malignancies	Anti-Cancer Therapy	anti-cancer therapy			n/a	Biopsies	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Drug dev/testing	CD20, TNFR1 , cell death	Low	Yes	Direct	Proof of Concept	Low	No	2016	Zhang, F	10.1080/2162402X.2016.1143995
421	General (Cell Lines As Instrumental)	Immunotherapy	immunotherapy			T-cells	Human neuroblastoma cell lines LA-N-1 and SK-N-SH and a lymphoblastic lymphoma cell line (SupT1) 	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity	Low	Yes	Direct	Proof of Concept/Qualified externally	Low	No	2018	Capsomidis, A	10.1016/j.ymthe.2017.12.001
422	General (Cell Lines As Instrumental)	Virotherapy 	virotherapy 			n/a	DM6, DM440, and DM443, DU54 	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity, IFN-β and LDH 	Low	Yes	Direct	Proof of Concept	Low	No	2018	Walton, RW	10.1128/JVI.00879-18
423	Ovarian Cancer	Virotherapy 	virotherapy 			n/a	Skov‐3, OVCA433, TR175 and Daudi, Biopsies	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	citotoxicity, IFN-β ELISA and LDH 	Low	Yes	Supportive	Proof of Concept	Low	No	2014	Jennings, VA	10.1002/ijc.28450
424	Colon Cancer	Immunomodulation	immunomodulation			iNKT 	HT-29, SW62D	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	CD1d,  Erk/MAPK , CD80, B7-H2	Low	No	Direct	Proof of Concept/Qualified externally	Low	No	2015	Ni, C	10.1016/j.canlet.2014.10.002
425	General (Breast Cancer As Instrumental)	Immunotherapy	immunotherapy			NK cells	MDA-MB-231 and T47D	In vitro	Cells	Immortalized cells	Coculture	2D	n/a	n/a	Disease therapy dev	MHC class I chain-related A/B, citotoxicity, 3-BrPA, NK-92MI-mediated cytotoxicity.	Low	Yes	Supportive	Qualified externally	Low	No	2015	Fu, DX	10.4161/2162402X.2014.991228
426	General (Cell Lines As Instrumental)	Anti-Cancer Therapy	anti-cancer therapy			n/a	PDAC, KLM-1, HCC-70,  A431/H9	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	drug uptake	Low	Yes	Supportive	Proof of Concept	Low	No	2015	Mason-Osann, E	10.1038/srep10832
427	General (Cell Lines As Instrumental)	Anti-Cancer Therapy	anti-cancer therapy			n/a	 SK-BR-3 (Her2(+)) and MDA-MB-231 (Her2(-)).	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity	Low	Yes	Direct	Qualified externally	Low	No	2015	Jaramillo-Quintero, LP	10.1080/09168451.2015.1006572
428	Breast, Colon And Prostate Cancers	Immunomodulation	immunomodulation	 anti-cancer therapy		T-cells	Human breast (MDA-MB-231 and MCF-7), Colon (SW620, SW480, and Colo205), and prostate (LNCaP) tumor cell lines	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	angiopoietin/Tie2 pathway, Ang1 and Ang2, ICAM-1, proliferation, viability	Low	Yes	Supportive	Proof of Concept	Low	No	2015	Grenga, I	10.1186/s40425-015-0096-7
429	General (Cell Lines As Instrumental)	Immunomodulation	immunomodulation	 anti-cancer therapy		n/a	EL4 cells	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	PD1/PDL1,  Lymphocytes proliferation and CTL activity	Low	Yes	Supportive	Proof of Concept/Qualified internally	Low	No	2015	Wang, GZ	10.1016/j.biopha.2015.10.011
430	Urothelial Bladder Cancer	Immunomodulation	immunomodulation	 anti-cancer therapy		n/a	253J, T24	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	signaling pathways, gene transactivation, cell viability, lactate dehydrogenase and HMGB1 release	Low	Yes	Direct	Qualified externally	Low	No	2016	Shah, G	10.1016/j.juro.2015.11.073
431	Breast Cancer	Immunomodulation	immunomodulation	 anti-cancer therapy		NK cells	MCF-7, HCC-1428, T47D, BT-474, UACC-812, ZR-75-30	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity, HER2, degranulation	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2016	Richards, JO	10.1007/s00262-016-1885-7
432	Lung Cancer	Immunotherapy	immunotherapy			n/a	H460 and H1703	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev Drug dev/testing	citotoxicity	High	Yes	Supportive	Qualified externally	Low	No	2016	Hamilton, DH	10.1158/1078-0432.CCR-15-3059
433	Breast Cancer	Cancer initiation and develop.	cancer initiation and dev	 anti-cancer therapy		n/a	HCC-1428, MCF-7, T47D, BT-474, UACC-812, ZR-75-30	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor) Disease therapy dev	CD1d , cell cycle, mitochondrial membrane depolarization	Low	Yes	Direct	Qualified externally	Low	No	2017	Shyanti, RK	10.1016/j.tiv.2017.06.016
434	Head And Neck Cancer	Adoptive Cell Therapy	adoptive immunotherapy			CTLs 	HSC-2, HSC-3, and HSC-4	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev Drug dev/testing	citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Nishio-Nagai, M	10.3892/ijo.2017.4142
435	Multiple Myeloma	Immunotherapy	immunotherapy			DC cells	monocyte-derived DCs	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor) Disease therapy dev	 IL12p70 and IFN-gamma, P38, MACD, migration	Low	No	Supportive	Proof of Concept	Low	No	2018	Shinde, P	10.1038/s41598-018-23943-w
436	Neuroblastoma	Anti-Cancer Therapy	anti-cancer therapy			n/a	IMR-32, SK-N-BE, SH-5YSY, LA-N-6	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	apoptosis , MYCN, citotoxicity	Low	Yes	Supportive	Qualified externally	Low	No	2018	Rust, A	10.3390/toxins10070261
437	Hepatocellular Carcinoma	Immunotherapy	immunotherapy			n/a	 HepG2, PLC/PRF/5, and Hep3B	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	ADAM17, cell viability	High	Yes	Direct	Qualified externally	Low	No	2018	Arai, J	10.1002/ijc.31615
438	Melanoma And Haematological Cancer	Immunomodulation	immunomodulation			n/a	Human cutaneous melanoma cell lines (Mel 195, 275, 313, 346, 116, 120, 514, 142, 237, 403, 458, 345, 599, and 261) were generated from surgically removed metastatic lesions from melanoma patients, as previously described. Human hematological cancer cell lines (Daudi, HL-60, NALM-6, Raji, U-937, KG-1a, Jurkat, JY, Ri-1, K562) w	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor) Model/method dev - exp	NY-ESO-1-, MAGE-A3-, MAGE-A1- and β-actin, CTLA-4-, PD-1-, PD-L1	Low	Yes	Supportive	Qualified internally/Qualified externally	Low	No	2018	Fazio, C	10.3389/fphar.2018.01443
439	Colorectal Cancer	Immunotherapy	immunotherapy			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	Rhein, citotoxicity, effector Lymphocytes , HIF-1	Low	Yes	Direct	Proof of Concept	Low	No	2018	Yuan, XF	10.3892/etm.2018.6855
440	Breast Cancer, Non-Hodgkin’S B-Cell Lymphoma	Anti-Cancer Therapy	anti-cancer therapy			n/a	MCF-7, ZR-75-1, and MDA-MB-231, NHL	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	MCF-7, ZR-75-1, and MDA-MB-231, citotoxicity, ROS, radiation-nduced transcriptional changes	Low	No	Supportive	Qualified externally	Low	No	2014	Wattenberg, MM	10.1038/bjc.2014.79
441	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	CD44, CD133, Nanog, and Oct3/4, and immunosuppressive molecules HLA-G and -E	Low	Yes	Direct	Proof of Concept	Low	Yes	2016	Ozdemir, RBO	10.1016/j.anndiagpath.2016.09.012
442	Non-Small Cell Lung Cancer	Anti-Cancer Therapy	anti-cancer therapy	 immunotherapy		NK-92MI	A-549 and NCI-H460	In vitro	Cells	Immortalized cells	Coculture	2D	n/a	n/a	Disease therapy dev Drug dev/testing	 Bcl-2 and cIAP-2 , citotoxicity, TNFalpha, Apo3L and FasL, NF-kappa B 	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2014	Kollipara, PS	10.1007/s12272-013-0319-8
443	Pancreatic Cancer	Adoptive Cell Therapy	adoptive cell therapy			n/a	Biopsies, TILs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor) Disease therapy dev	IL-2, TILs count, IFN-gamma, PD-1 and 4-1BB	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2016	Hall, M	10.1186/s40425-016-0164-7
444	Pancreatic Cancer	Adoptive Cell Therapy	adoptive cell therapy			n/a	TILs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	4-1BB, CD3, CD4, CD8, CD16, CD56, CD57, Granzyme B, T-bet, γδ T-cell receptor (TCR), CD27, CD28, CD45, CD45RA, CD45RO, CCR7, BTLA , PD-1, KLRG1, IFNγ secretion, TILs growth and CD8+ count	Low	Yes	Supportive	Proof of Concept	Low	No	2017	Sakellariou-Thompson, D	10.1158/1078-0432.CCR-17-0831
445	Pancreatic Cancer	Anti-Cancer Therapy	anti-cancer therapy	 Immunotherapy		n/a	 KLM-1 and T3M4, Panc-2 	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity, Bcl-x, Her2, Her3 and MUC16	Low	Yes	Direct	Qualified externally	Low	No	2018	El-Behaedi, S	10.3390/toxins10110447
446	General	Immunomodulation	immunomodulation			n/a	Myeloid-derived suppressor cells (MDSCss) , T cells	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	IL-11, JAK/STAT3, T cells proliferation	Low	Yes	Supportive	Proof of Concept	Low	No	2015	Sumida, K	10.1038/srep13650
447	Cervical Cancer 	Anti-Cancer Therapy	anti-cancer therapy	 biomarkers		n/a	Biopsies, HeLa	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	RNA profiling, 16S rRNA, lysosomal associated membrane protein 3 (LAMP3), STAT1, TAP1, intratumor microbiota	Low	Yes	Direct	Proof of Concept	High	No	2018	Lam, KC	10.7717/peerj.5590
448	Prostate Cancer	Immunotherapy	immunotherapy			NK cells	PC3, Du-145 and LNCaP 	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	correlation, NKp30 and NKp46, citotoxicity, degranulation, DNAM-1, CD57, CD10	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2015	Pasero, C	10.18632/oncotarget.3965
449	Colon Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies and sera form CRC patient	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	AKAP4	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Jagadish, N	10.1080/2162402X.2015.1078965
450	Prostate Adenocarcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	PD-1, PD-L1 and T Lymphocytes Expression,  CD3 and FOXP3	Low	No	Direct	Proof of Concept	Low	No	2016	Massari, F	10.1007/s11523-015-0396-3
451	Glioma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	serum	In vitro	Cell free	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp/theor)	OY-TES-1 antigene	Low	Yes	Direct	Proof of Concept	Low	No	2017	Li, XS	10.3892/ol.2017.5799
452	Oropharyngeal Squamous Cell Carcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	16INK4a, CD56, correlation	Low	No	Direct	Proof of Concept	Low	No	2016	Wagner, S	10.1002/ijc.29962
453	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	RNA profiling, immune profile, mutational rate, neoantigen formation, and MMR status	Low	No	Direct	Proof of Concept	High	No	2018	Chang, K	10.1001/jamaoncol.2018.1482
454	General	Immunomodulation	immunomodulation			UB protein extracted from tumors	monocyte-derived DCs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Drug dev/testing	T-cell response, Ub-proteins, IFN-gamma	Low	Yes	Supportive	Proof of Concept	Low	No	2017	Yu, GJ	10.1097/CJI.0000000000000165
455	General	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	liquid Biopsies	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	immunoprofiling , T- and B-cell immunosequencing	Low	Yes	Supportive	Proof of Concept	High	Yes	2017	Akyuz, N	10.1002/ijc.30549
456	Glioblastoma Multiforme	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	 U251, A172 (IL-13R2 +ve) and T98G (IL-13R2 -ve) glioma cell lines	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	IL-13R2, IL-13, c-Jun, Fra-1, Jun-D, c-Fos, and Jun-B, JAK/STAT, 	Low	No	Supportive	Qualified externally	Low	No	2018	Bhardwaj, R	10.1186/s12967-018-1746-6
457	Colorectal Cancer	Immunotherapy	immunotherapy			n/a	Biopsies, liquid Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	CD8(+) T-cells, dendritic cells and monocytes, LAG3, PD-1, TIM3 and CTLA4, correlation	Low	No	Supportive	Proof of Concept	Low	No	2018	Zhou, GY	10.1080/2162402X.2018.1448332
458	Non-Small Cell Lung Cancer	Immunotherapy	immunotherapy			n/a	A-549, NCI‐H1299	In vitro	Cells / Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease therapy dev	miR-3127-5p/p-STAT3, PD-L1, cell viability	Low	No	Supportive	Qualified externally	Low	No	2018	Tang, DF	10.1111/jcmm.13657
459	Gastric Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies, NCI-N87, AGS, SNU216, SNU668, and SNU719, YCC3, YCC10, and PC9 	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	EFGR, HER2, and PD-L1, CCL2, CCL21, VEGF and CXCL1	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Suh, KJ	10.18632/oncotarget.19194
460	Pancreatic Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Panc-1	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	IFN-gamma, RFXAP. miR-212-3p, 	Low	No	Direct	Qualified externally	Low	No	2018	Ding, GP	10.3892/ol.2018.7777
461	Lung Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers	anti-cancer therapy	n/a	H1650, H1650GR 	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	transcriptome and genome alterations ,  PI3K/AKT pathway, AKT activity, FAS, PUMA, NOXA	Low	Yes	Supportive	Qualified externally	Low	No	2015	Han, XH	10.2174/1568009615666150416122422
462	General	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	equilibrium points of the model 	Low	Yes	Direct	Proof of Concept	Low	No	2015	Sheller, B	10.3934/mbe.2015.12.1037
463	Breast Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies, MCF-7, BT-474 and ZR-75-1	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	IDO1, methylation profile, Kyn in Human sera	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Dewi, DL	10.1080/2162402X.2016.1274477
464	Melanoma	Cancer initiation and develop.	cancer initiation and dev	 immunotherapy		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	PD-1/PD-Li immune inhibitory axis, T cells	Low	Yes	Direct	Proof of Concept	Low	Yes	2014	Tumeh, PC	10.1038/nature13954
465	Ovarian Cancer	Cancer initiation and develop.	cancer initiation and dev	 immunotherapy		n/a	A2780 and SKOV-3 	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	genome profiling, DDB1, ERCC1, ERCC2, PRPF19, BCAT1, CDKN1B and MARK4, molecular signature	Low	Yes	Direct	Qualified internally	High	No	2017	Li, L	10.18632/oncotarget.14767
466	Thyroid Cancer	Cancer initiation and develop.	cancer initiation and dev	 immunotherapy		n/a	PcCL3 	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	RET/PTC3 , IDO1, TREG density, correlation,STAT1-IRF1 pathway	Low	Yes	Direct	Qualified externally	Low	No	2017	Moretti, S	10.1074/jbc.M116.745448
467	Non-Small Cell Lung Cancer	Cancer initiation and develop.	cancer initiation and dev			n/a	55 cell lines, 139 Biopsies	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	PD-11, PD-L1, infiltration of T-cells, correlation	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2017	He, YY	10.12659/MSM.899909
468	Non-Small Cell Lung Cancer	Cancer initiation and develop.	cancer initiation and dev			n/a	55 cell lines, Biopsies	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	LAG-3, PD-11, PD-L1, infiltration of T-cells, correlation	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2017	He, YY	10.1016/j.jtho.2017.01.019
469	General	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	doses of Lymphocytes,  stability and its sensitivity o the model	Low	Yes	Direct	Proof of Concept	Low	Yes	2017	Singh, S.	10.1142/S1793048017500047
470	Bladder Cancer	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	 dynamics between the bacillus Calmette-Guarin (BCG) vaccine concentration, immune-system and tumor cells	Low	Yes	Direct	Proof of Concept	Low	Yes	2015	Saadi, S.	10.1007/s40435-015-0157-2
471	Pancreatic Cancer	Anti-Cancer Therapy	anti-cancer therapy	 immunoomdulation		n/a	MIA MIA-PaCa-2 and AsPC-1	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	JAK/STAT pathway, PD-L1	Low	Yes	Supportive	Qualified externally	Low	No	2017	Doi, T	10.3892/or.2017.5399
472	General	Immunomodulation	immunomodulation			n/a	PBMCs, DCs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	T cell proliferation	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Zhong, R.	http://ijcem.com/files/ijcem0023700.pdf
