Model no.	Disease area	Disease feature	Category	Type	Application/ aim	Biological or disease-specific endpoint	Assay Throughput/ Content	Relevance	Potential/Future developments	DOI	Author name	Year
205	PD	Protein aggregation	Human/patient primary or stem cells 	Other	Disease therapy developm	Protein dysfunction: a-synuclein	Low-medium/low	link PD to gasterointestinal A-syn accumulation in intestinal nerve cells	novel pharmacological therapies may slow down or inhibit accumulation of a-syn in enteric neurons to stop the spread of a-syn into the CNS and ameliorate a-syn-mediated disturbances (intracellular NAD levels,  mitochondrial function).	http://dx.doi.org/10.1007/s12640-013-9420-5	Braidy	2014
206	AD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/medium	generate BFCNs (basal forebrain cholinergic neurons) with an AD phenotype is a significant step for understanding disease mechanisms 	facilitating high throughput screening for agents that promote BFCNs survival	http://dx.doi.org/10.1186/1750-1326-9-3	Duan	2014
207	AD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Drug developm/ testing	Protein dysfunction: amyloid peptide (any version)	Low-medium/medium	Most relevant for drug testing using model not-overexpressin APP	For future drug screening	http://dx.doi.org/10.1001/jamaneurol.2014.2482	Liu	2014
208	AD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Disease therapy developm	Protein dysfunction: amyloid peptide (any version)	Low-medium/medium	derived NCSMCs of a neural crest origin in order to reproduce characteristics of neurovascular Ab metabolism: the NCSMCs demonstrated more profound deficits in Ab uptake than the other lineage-specific SMCs upon chronic hypoxic treatment.	screening of drugs to ameliorate vascular complication in NDD	http://dx.doi.org/10.1016/j.celrep.2014.08.065	Cheung	2014
209	AD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Differentiated human cells: neuronal	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/medium	Relevance of in vitro neuron model confirmed with brain tissue studies	Future potential for therapeutic strategies for AD by upregulation of GFR 1 expression	http://dx.doi.org/10.1523/JNEUROSCI.2582-13.2014	Konish	2014
210	Several NDD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Differentiated human cells: neuronal	Disease therapy developm	Multiple biological endpoints	Low-medium/medium	Disease relevant: Abundant productions of amyloid-β, tau and proteins make this a powerful model for Alzheimer’s research. The culture also produces glia and different sub-types of neurons.	Well-characterized methodology for human mixed brain cultures useful to test therapeutic agents under various conditions, and to carry forward mechanistic and translational studies for several brain disorders	http://dx.doi.org/10.1186/s13041-014-0063-0	Ray	2014
211	AD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/medium	Differentiating neurospheres secrete various cytokines and cholinergic enzymes involved in the homoeostasis of ACh signalling: the model allows to propose a mechanism whereby Abf decrease neurogenesis by promoting a microenvironment favouring hypo-cholinergic signalling and gliogenesis	Further understanding of the basic regulatory processes involved in cell genesis, and warrant  studies to deduce the involvement of receptors and down-stream signalling mechanisms	http://dx.doi.org/10.1111/jcmm.12343	Malmsten	2014
212	Several NDD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Differentiated human cells: neuronal	Drug developm/ testing	Multiple biological endpoints	Low-medium/medium	Human hippocampal neural cells derived from HIP-009 cells are a novel tool for use in the in vitro brain region–specific and physiologically relevant systems for assaying human ionotropic glutamate receptors. This mixture of neurons and astrocytes can be used to detect  important neuron-astrocyte interactions	Based on mechanistic insight: potential to develop novel therapeutic agents for glutamate receptor–related disorders such as AD, PD, HD, schizophrenia, and epilepsy	http://dx.doi.org/10.1177/1087057114541149	Fushima	2014
213	AD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/medium	Model allowed to observe significant mutation-related, editing reversible differences in excitability of BFCNs	not specified	http://dx.doi.org/10.1186/s40478-017-0475-z	Ortiz-Virumbrales	2017
214	AD	Energy metabolism	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Mitochondrial dysfunction	Low-medium/medium	disease relevant: patient derived iPSC model to study Tau pathology in relation to energy metabolism & mitochondrial dysfunction	new insights to unravel the mechanisms of tau-related neurodegeneration and potential therapeutic strategies for FTDP-17	http://dx.doi.org/10.1016/j.redox.2017.03.008	Esteras	2017
215	Several NDD	Energy metabolism	2D or 3D co-culture	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Mitochondrial dysfunction	Low-medium/medium	model provides an approach for the study of abnormal mitochondrial structure, function, and dynamics in the pathogenesis of neurodegenerative diseases	therapeutic discovery in neurodegenerative diseases such as PD.	http://dx.doi.org/10.1016/j.stemcr.2017.12.021	Du	2017
216	AD	Neuronal loss	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/medium	Relevant model: study with iPSC-derived AD neuronal cells confirms abnormalities in DDR and BRCA1 signaling	Novel insight on BRCA1 activity and function in neurons in AD and open up a promising novel mechanistic  research area	http://dx.doi.org/10.3233/JAD-170830	Wezyk	2017
217	AD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/medium	iPSC technology is suitable to model both fAD and sAD: hyperphosphorylation of TAU protein has been compared in fAD and sAD iPSC-derived neurons	iPSCs from complex, unknown genetic background diseases, such as sAD, may be equally useful and able to provide suitable models such as the monogenic forms of AD carrying mutations in PSEN1, PSEN2, and APP.	http://dx.doi.org/10.1186/s13195-017-0317-z	Ochalek	2017
218	AD	Neuroinflammation	Human/patient primary or stem cells 	Differentiated human cells: neuronal	Disease mechanism (exp/theor)	Activation of microglia	Low-medium/medium	cell models of differentiated neuronal cells show that SOCS-1, SOCS- 2, SOCS-3 and CIS mRNA expression was upregulated in microglia treated with Ab, and similarly ; changes in expression of SOCS-2, SOCS-3 and CIS mRNA were  detected in AD brains, representing main disease features (Ab increase & inflammation ).	Brain tissue and glial cultures have many similarities in the regulatory properties of these proteins, each one has distinct patterns of expression and regulation , thus further studies must involve more complex cell models that include other brain cell types	http://dx.doi.org/10.1016/j.neuroscience.2014.09.052	Walker	2015
219	AD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease therapy developm	Protein dysfunction: amyloid peptide (any version)	Low-medium/medium	AD specific iPSCs allow to test the toxicity of Ab  oligomers in a human cellular model, possessing the same genetic background as the patients.	potential to use neurons derived from AD iPSCs in drug screening & develop new strategies to protect those cells from the toxic effect of the Ab  peptides in the AD brain	http://dx.doi.org/10.1016/j.neulet.2016.12.060	Armijo	2017
220	AD	Neuronal loss	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/medium	Premature neuronal differentiation in AD-NPCs was caused by PSEN1 mutations and might be correlated to multiple dysregulated processes including but not limited to Wnt-Notch pathway, and mechanism relevant to early onset AD	premature neuronal differentiation could be an important and unappreciated early pathogenic event in the pre-clinical stage of AD development, although more systemic investigations are needed	http://dx.doi.org/10.18632/oncotarget.13776	Yang	2017
221	AD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/medium	New insights into the complex interplay of SORL1 (Sortilin-Related Receptor) and AD pathology using neural stem cells  	NSCs as a valuable tool to address unsolved AD-related questions in vitro	http://dx.doi.org/10.1155/2017/1892612	Zollo	2017
222	AD	Energy metabolism	Human/patient primary or stem cells 	Differentiated human cells: neuronal	Disease mechanism (exp/theor)	Changed gene expression	Low-medium/medium	The model describes a cascade of events, starting with an increase in clearance-resistant intracellular OAb as a function of age and disease : it demonstrates a persistent path of etiopathogenic changes associated with energy metabolism long before the onset of measureable cognitive deficit	Emphasis on mitochondrial dysfunction at the level of identified cells, which offers the opportunity for more precise (cell-type specific) elucidation of molecular events in Alzheimer’s disease that lead to mitochondrial dysfunction.	http://dx.doi.org/10.1016/j.jalz.2017.12.005	Mastroeni	2018
223	AD	Neuronal loss	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/medium	Relevant experimental model for studying tau-associated cellular alterations in an authentic human system.	Mechanism studies: phosphorylation and conformational state of tau, microtubuli-based transport, and the vulnerability of human neurons to oxidative stress 	http://dx.doi.org/10.1016/j.ajpath.2013.01.043	Mertens	2013
224	AD	Exploratory/ no specific feature	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Diagnosis of disease	Multiple biological endpoints	Low-medium/low	Restricted relevance for disease (use of immort cell line), bit for screening purposes	CXCR4 may be a novel target and biomarker for the diagnosis and treatment of AD and aging	http://dx.doi.org/10.1007/s12603-018-1013-9	Li	2018
225	AD	Exploratory/ no specific feature	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Neuroprotection/neurotoxicity	Changed protein expression	Low-medium/low	Model suitable to study interference of Ach on amyloid toxicity	Role of Ach as neuroprotector for further investigation in relation to Ab in more in vivo relevant cellular models	http://dx.doi.org/10.1007/s10571-017-0555-4	Polveriono	2018
226	AD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Differentiated human cells: non-neuronal, non-CNS	Diagnosis of disease	Multiple biological endpoints	Low-medium/low	Endothelial cell model relevant to study role of factors in patient plasma: endothelial dysfunction may affect NO production, resulting in brain circulatory disorders and changes in the microvasculature can provoke a reduction in glucose and oxygen delivery to neuronal and glial cells, and lead to progressive neurodegeneration	Need to search for treatment / protection of of endothelial membranes as a therapy development	http://dx.doi.org/10.1177/1721727X1301100216	Salvolini	2013
